,show_id,type,country,date_added,release_year,rating,listed_in,description,Albania,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Czech Republic,France,Georgia,Germany,Hungary,India,Ireland,Italy,Japan,Kosovo,Luxembourg,Malaysia,Mexico,Netherlands,New Zealand,Poland,Spain,Sweden,Switzerland,United Kingdom,United States,Action/Adventure,Animation,Anthology,Buddy,Comedy,Crime/Mystery/Thriller,Documentary,Drama,Family,Movies,Music/Musical,Romance,Sci-Fi/Fantasy,Sports
21,s0077,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,1,LittleBabyBum is proud to present a compilation with some of the most popular and educational nursery rhymes with Mia!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,s0078,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,1,Enjoy this educational and fun compilation of classic nursery rhymes with Jacus from Little Baby Bum!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,s0085,TV Show,1,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,1,"Bianca is just like any other little girl, except for one teensy little thing.  Bianca has Wish Magic, so she can make wishes come true! Whether she’s at home in Wish World, at the Willow Tree with her fairy friends, or at school with her non-fairy friends, Bianca and her hilarious teddy bear sidekick Bob navigate day-to-day problems.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,s0086,TV Show,0,2018-01-01 00:00:00,2018-01-01 00:00:00,16+,1,"Wisconsin is home to the Strange and unusual. UFO's Aliens, Ghosts, Spiritual encounters, demons, monsters. Wisconsin is a land of all of these legends. Wisconsin unexplained will share the stories of eye witnesses who lived through the unexplained.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,s0093,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,13+,2,"Soldier, banker, lawyer, professor; William Tecumseh Sherman was more than a Civil War General. Sherman voyaged the world, influenced the California Gold Rush, started banks and Louisiana State University. He advised and entertained presidents, and changed the dynamic of war. Later he set decades of policy in the American West. Few leaders have had such a contentious impact on America as Sherman.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,s0094,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,16+,3,"The Texas comedian returns with his third television one-hour special talking all things Christmas including traditions, the pitfalls of having family over, and finding the ultimate gift in this one-of-a-kind stand-up special.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,s0095,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,18+,4,"The middle aged, middle class, Texas comedian talks about life, being married, raising his five kids, and surviving in the middle of an America that is always changing.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,s0097,Movie,0,2021-01-01 00:00:00,2021-01-01 00:00:00,16+,2,"An unlikely friendship forms in the spectacular Alaskan wilderness, giving a runaway girl hope and sanctuary in America's last frontier.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,s0099,TV Show,0,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,2,"In terms of rainfall, the Antarctic is the driest place on earth, yet it holds more than two-thirds of the planet's fresh water. With plunging temperatures and powerful winds, our southernmost land mass is an unrelenting habitat. Nevertheless, life persists, and extraordinary creatures answer the call of the seasons. This frozen tundra is the Wildest Antarctic.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,s0108,Movie,1,2018-01-01 00:00:00,2018-01-01 00:00:00,18+,2,"Abish Mathew is the world's greatest stand-up comedian (*citation needed) and this is the world's greatest stand up special (*this definitely needs a citation). Every great punchline has a great set up! And in this one-hour special, we find out how Abish was set up to be a punchline his whole life.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,s0110,Movie,0,2018-01-01 00:00:00,2018-01-01 00:00:00,13+,1,"In this surprising documentary, archaeologist and historian Neil Oliver examines the links between racism today in the Deep South and the Scots who first occupied it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,s0114,Movie,0,2021-01-01 00:00:00,2021-01-01 00:00:00,16+,2,"Great Patriotic War, early 1940s. After barely surviving a battle with a mysterious, ghostly-white Tiger tank, Red Army Sergeant Ivan Naydenov becomes obsessed with its destruction.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,s0115,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,16+,3,"Despite the progress many see in the US over the years, it' become increasingly clear that the deep roots of racism and white supremacy continue to run through our political, cultural, and religious institutions. White Savior explores the historic relationship between racism and American Christianity, the ongoing segregation of the church in the US, and the complexities of racial reconciliation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,s0116,TV Show,0,2019-01-01 00:00:00,2019-01-01 00:00:00,16+,1,"Professor Jonah Mulray’s life is turned upside down when he discovers his wife, Megan Harris, has been killed in a car-crash in Hong Kong.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,s0118,Movie,0,2018-01-01 00:00:00,2018-01-01 00:00:00,PG-13,3,"Daring escapes, hilarious stunts and danger turn a Hollywood director's world upside down when he meets a band of street kids living in the slum. Inspired by true events and filled with laughter and faith, Where Love Found Me invites you to experience the adventures of street life and reimagine the meaning of family.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,s0119,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,2,"Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he explores the microwave, the espresso machine, the yule log and many more!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,s0120,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,2,"Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he encounters a magnet, tennis ball launcher, rocket, and many more!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
38,s0121,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,2,"Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he works his way around the bin, the light bulb, the iron, and many more!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,s0122,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,2,"Nobody knows where Chicky is exactly. We just know he is cute and deeply naïve. In this compilation, follow Chicky the cartoon bird as he plays mini golf, plays in the pinball machine, falls into a birthday cake, and many more!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
40,s0123,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,PG-13,2,"When the daughter of a white German mother and an African father meets a member of the Hitler Youth - compulsory for all Aryan boys in 1944 Germany, they must battle against the fates laid out before them during the most brutal of times.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
41,s0125,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,16+,1,Images of a mother and daughter's relationship are intertwined between the mundane routine of work at a museum.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,s0127,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,13+,1,Janet and Michael are a young couple trying to balance their life and love with one another. When challenges come up that threaten that bond they have to figure out how to keep their love strong or let it go. They have to figure out what love is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,s0128,Movie,0,2018-01-01 00:00:00,2018-01-01 00:00:00,ALL,1,"Matias, a 10-year-old runs away from home in a huff and ends up getting on a bus, eventually he get lost, until he is found by Rogelio, a man who works as a clown restaurant.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,s0131,TV Show,0,2019-01-01 00:00:00,2019-01-01 00:00:00,13+,2,"This series dives deep into six catastrophic events that stunned the world, a high adrenaline series about the interface between man and machine. Each disaster is retold by survivors and first responders, but eventually turns its focus on the machines, the high tech infallible constructions that suffered catastrophic failure because of engineering errors that were entirely preventable.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,s0132,TV Show,0,2020-01-01 00:00:00,2020-01-01 00:00:00,16+,1,"Fifteen-year-old Heidi Schreck earned her college tuition by winning Constitutional debate competitions across the United States. In this hilarious, hopeful, and achingly human show, Heidi resurrects her teenage self in order to trace the profound relationship between four generations of women and the founding document that shaped their lives.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,s0135,TV Show,0,2021-01-01 00:00:00,2021-01-01 00:00:00,TV-NR,1,"Host Jonathan Coachman and PGATOUR.COM Senior Writer Ben Everill break down the brackets for the 2021 World Golf Championships Dell Technologies Match Play at Austin Country Club with some special guests, including defending champion Kevin Kisner.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,s0143,Movie,1,2019-01-01 00:00:00,2019-01-01 00:00:00,ALL,2,"An aspiring filmmaker reluctantly takes up the assignment of filming a wedding in a small town. Once she gets there, she is drawn into the celebration, chaos and drama surrounding the family gathering.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,s0146,TV Show,0,2019-01-01 00:00:00,2019-01-01 00:00:00,TV-MA,1,"Wayne is the gritty and sometimes bloody tale of WAYNE (Mark McKenna), a 16 year-old Dirty Harry with a heart-of-gold, who sets out on a dirt bike to Ocala, Florida with his new crush DEL (Ciara Bravo) to take back the 1979 Trans-Am that was stolen from his father before he died.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,s0150,TV Show,0,2020-01-01 00:00:00,2020-01-01 00:00:00,TV-NR,1,"X-Ray delivers the most advanced viewing experience available on your Fire TV, Web, iOS and Android mobile devices. Click up on your remote or just turn your mobile device to access next generation live stats, replays on-demand and more!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,s0151,Movie,0,2020-01-01 00:00:00,2020-01-01 00:00:00,ALL,1,"A new collection of colorful and wonderfully engaging nursery rhymes and children's songs that will thrill your child while educating them in their numbers, ABCs and general learning! From the creators of LittleBabyBum, KiiYii allows the child's imagination to go further!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,s0152,Movie,0,2021-01-01 00:00:00,2021-01-01 00:00:00,16+,1,"In order to advance her career in the dynamic world of publicity in Mexico City, Raquel tries to reunite with her high school friend Cecy who has become the queen of social media. But unlike followers, friendships do not come instantly.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,s0154,Movie,0,2019-01-01 00:00:00,2019-01-01 00:00:00,13+,3,"An elite shadow unit of RAW led by agent Kabir (Hrithik Roshan) focusses on maximum risk missions. Khalid (Tiger Shroff), a soldier with a murky past, struggles to get into Kabir’s team and finally manages to convince him of his dedication & loyalty. Now, when Kabir mysteriously goes rogue, Khalid is assigned the task of hunting down his mentor. Can he track him? A deadly war begins.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
